id_contenido;tipo;usuario;estrellas;comentario
circulo-de-fuego;pelicula;Valter Pontes;2;Una secuela con sus altibajos, pero sin duda un escalón por debajo de la primera película.
circulo-de-fuego;pelicula;Thiago Prata;3;Buena película, pero no hay comparación con la primera (que para mí es casi perfecta).
crepusculo;pelicula;Eliza;3;Crepúsculo es una película preciosa que vale totalmente la pena ver, la recomiendo muchísimo.
crepusculo;pelicula;Bruno García;3;Me confundí en algunas partes, pero la historia me atrapó.
django-sin-cadenas;pelicula;Larissa González;5;Es una obra de arte, fenomenal. Sinceramente no hay palabras suficientes para expresar lo que transmite esta película.
django-sin-cadenas;pelicula;Luciano Jorge;3;Película increíblemente buena, dirigida por el mismísimo Quentin Tarantino.
grandulones;pelicula;Enzo Gabriel;5;Una de las películas con las que más me río y disfruto. ¡Simplemente genial!
grandulones;pelicula;Luciana María;3;Esta película fue parte de mi infancia, es mi favorita de verdad. La mejor que he visto y la sigo viendo hasta hoy.
el-sorprendente-hombre-arana;pelicula;Mary Jane;2;¿Quién es esa tal Gwen Stacy?
el-sorprendente-hombre-arana;pelicula;José Carlos;3;Prefiero a Tobey Maguire.
los-juegos-del-hambre;pelicula;María Ana;4;Sin duda es una de mis sagas favoritas. ¡Ya la vi varias veces!
los-juegos-del-hambre;pelicula;Peter Kaviski;5;Es una película intensa y maravillosa. La protagonista pasa por situaciones extremas y la actriz la interpreta de manera impecable.
prisioneros;pelicula;Bruce Wayne;2;Si fuera en mi ciudad, no lo dejaría salir vivo.
prisioneros;pelicula;María Julia;3;Muy buena película, estuve enganchada de principio a fin.
power-rangers;pelicula;Eloá Tavares;3;Para quien siguió la serie en los 90, esperaba más. La historia es un poco lenta, pero la diversidad le da un toque interesante. No está del todo mal, vale la pena verla.
power-rangers;pelicula;Kleber Vilar;3;Me gustó bastante, creo que le dieron una actualización bastante fiel a la serie original.
superbad;pelicula;Felipe Souza;4;¡Muy divertida! Una de las mejores comedias adolescentes que existen.
superbad;pelicula;Gustavo Oliveira;3;Me faltan palabras para describir lo divertida que es esta película. Una comedia de principio a fin con personajes maravillosos.
tropa-de-elite;pelicula;John Lemos;4;Es una película muy buena que enaltece el valor del cine brasileño.
tropa-de-elite;pelicula;Pedro Almeida;5;¡Maravillosa! La película retrata la violencia urbana, civil y policial, y cómo ambas partes piensan y actúan.
ahora-me-ves;pelicula;Luciene Silva;2;Esta película es genial, la recomiendo mucho para quien disfruta de la magia. ¡No puedo esperar para ver la segunda!
ahora-me-ves;pelicula;Alejandro Carvajal;3;¡La mejor película de todas! Simplemente maravillosa.
rapido-y-furioso-tokio;pelicula;Ana María;4;¡Me encantó, muy emocionante!
rapido-y-furioso-tokio;pelicula;Paulo Henrique;3;A pesar de ser muy buena, creo que todo es bastante irreal.
el-ultimo-maestro-del-aire;serie;Carlos Silva;2;Las actuaciones podrían mejorar, pero la historia me mantuvo pegado a la pantalla.
el-ultimo-maestro-del-aire;serie;Mariana López;4;¡Supera todas mis expectativas! Una adaptación digna del anime original.
one-punch-man;serie;Hugo Santos;4;Saitama es el personaje más divertido y absurdo que existe. ¡No puedo parar de verla!
one-punch-man;serie;Rodrigo Fernández;5;La animación es increíble y el humor es irresistible. Una de las mejores series de anime.
gossip-girl;serie;Hannah Silva;3;Gossip Girl es como una fiesta elegante donde todos los secretos más sucios se revelan a la luz del día. ¡No puedo esperar para ver quién cae en desgracia la próxima temporada!
gossip-girl;serie;Pedro Lima;5;¡Una verdadera obsesión! La atmósfera glamorosa de Nueva York, los personajes carismáticos y los giros inesperados me tienen pegado a la pantalla.
suits;serie;Juan Carvajal;2;Interesante al principio, pero se vuelve repetitiva después de varias temporadas.
suits;serie;Valentina Ríos;4;¡Harvey Specter es el mejor personaje de la televisión! Una serie que no puedes parar de ver.
lucifer;serie;Luis Santos;4;Una mezcla perfecta entre lo policial y lo sobrenatural. Tom Ellis hace un trabajo brillante como Lucifer.
lucifer;serie;Carolina Mendez;5;¡Me encanta! Lucifer es encantador, divertido e inesperadamente profundo. Una de mis series favoritas.
breaking-bad;serie;Juan Silva;4;Breaking Bad es una montaña rusa de emociones que te deja sin aliento en cada episodio. Una obra maestra de la televisión que dejará una huella imborrable en todos los que la ven.
breaking-bad;serie;Ana Oliveira;2;Breaking Bad es una de esas series que divide opiniones. Aunque reconozco su valor como obra televisiva, personalmente no logré conectar del todo con la historia y sus personajes.
better-call-saul;serie;Paulo Souza;1;Better Call Saul es una decepción total para los fans de Breaking Bad que esperaban una precuela a la altura. Aunque la actuación de Bob Odenkirk es notable, la trama lenta deja mucho que desear.
better-call-saul;serie;Marta Lima;2;Better Call Saul parece más una excusa para prolongar el universo de Breaking Bad que una serie independiente. La falta de ritmo hace difícil conectar con los personajes.
the-flash;serie;Carlos Silva;2;Empezó muy bien pero fue perdiendo calidad con las temporadas. Los primeros dos años fueron increíbles.
the-flash;serie;Sofía Ramírez;4;Barry Allen es un héroe muy carismático. La serie tiene momentos épicos que te dejan boquiabierto.
the-walking-dead;serie;Renata Silva;4;The Walking Dead es una experiencia única. Cada episodio te hace querer ver el siguiente, aunque a veces el corazón no aguanta lo que pasa.
the-walking-dead;serie;Marco Antonio;3;Las primeras temporadas son brillantes, pero luego pierde fuerza. Aun así vale mucho la pena verla.
solo-un-show;serie;Joana Pereira;5;Solo un show es una explosión de creatividad y locura que conquista a espectadores de todas las edades. Con su humor surrealista y personajes carismáticos, cada episodio es un viaje delirante.
solo-un-show;serie;Rafael Santos;1;Solo un show es un ejemplo de cómo una idea original puede perderse en una ejecución confusa. El humor bizarro puede alejar a algunos espectadores.
la-casa-de-papel;serie;Lucas Reyes;5;La Casa de Papel es una obra maestra de la televisión española que conquistó al mundo entero con su trama inteligente y sus giros emocionantes.
la-casa-de-papel;serie;Pedro Silva;4;La Casa de Papel es un verdadero espectáculo visual y narrativo. Con actuaciones magníficas y una trama llena de giros, es imposible no engancharse con la historia del Profesor y su equipo.
tu;serie;Gustavo Oliveira;2;Perturbadora pero adictiva. Joe Goldberg es un personaje que te genera sentimientos muy contradictorios.
tu;serie;Isabella Torres;4;Absolutamente obsesionante. Penn Badgley hace un trabajo magistral. No puedo dejar de verla aunque sé que debería.
